company_id,type,rule_id,text,confidence_pct
1,Pro,P3,Healthy net profit margin.,80
1,Con,C1,Low return on equity.,85
1,Con,C2,Low return on capital employed.,85
1,Con,C6,Low asset utilization.,75
1,Pro,P2,Strong return on capital employed.,85
1,Pro,P5,Excellent interest coverage.,90
1,Con,C1,Low return on equity.,85
1,Pro,P2,Strong return on capital employed.,85
1,Con,C6,Low asset utilization.,75
1,Pro,P3,Healthy net profit margin.,80
1,Con,C1,Low return on equity.,85
1,Con,C6,Low asset utilization.,75
1,Pro,P3,Healthy net profit margin.,80
1,Con,C1,Low return on equity.,85
1,Con,C2,Low return on capital employed.,85
1,Con,C6,Low asset utilization.,75
2,Pro,P3,Healthy net profit margin.,80
2,Con,C1,Low return on equity.,85
2,Con,C6,Low asset utilization.,75
2,Con,C1,Low return on equity.,85
2,Con,C6,Low asset utilization.,75
2,Pro,P2,Strong return on capital employed.,85
2,Con,C6,Low asset utilization.,75
2,Pro,P5,Excellent interest coverage.,90
2,Con,C1,Low return on equity.,85
2,Con,C6,Low asset utilization.,75
2,Pro,P2,Strong return on capital employed.,85
2,Pro,P3,Healthy net profit margin.,80
2,Pro,P5,Excellent interest coverage.,90
3,Pro,P6,Efficient asset utilization.,75
3,Con,C1,Low return on equity.,85
3,Con,C1,Low return on equity.,85
3,Con,C2,Low return on capital employed.,85
3,Con,C6,Low asset utilization.,75
3,Con,C1,Low return on equity.,85
3,Con,C6,Low asset utilization.,75
3,Pro,P3,Healthy net profit margin.,80
3,Con,C1,Low return on equity.,85
3,Con,C6,Low asset utilization.,75
3,Pro,P2,Strong return on capital employed.,85
3,Pro,P3,Healthy net profit margin.,80
3,Pro,P5,Excellent interest coverage.,90
3,Con,C6,Low asset utilization.,75
4,Pro,P3,Healthy net profit margin.,80
4,Con,C1,Low return on equity.,85
4,Con,C2,Low return on capital employed.,85
4,Con,C6,Low asset utilization.,75
4,Pro,P5,Excellent interest coverage.,90
4,Con,C1,Low return on equity.,85
4,Con,C6,Low asset utilization.,75
4,Con,C6,Low asset utilization.,75
4,Pro,P2,Strong return on capital employed.,85
4,Pro,P5,Excellent interest coverage.,90
4,Pro,P3,Healthy net profit margin.,80
4,Con,C1,Low return on equity.,85
4,Con,C2,Low return on capital employed.,85
4,Con,C6,Low asset utilization.,75
5,Pro,P3,Healthy net profit margin.,80
5,Con,C1,Low return on equity.,85
5,Con,C6,Low asset utilization.,75
5,Pro,P5,Excellent interest coverage.,90
5,Con,C1,Low return on equity.,85
5,Con,C6,Low asset utilization.,75
5,Con,C1,Low return on equity.,85
5,Con,C6,Low asset utilization.,75
5,Pro,P3,Healthy net profit margin.,80
5,Con,C1,Low return on equity.,85
5,Con,C2,Low return on capital employed.,85
5,Con,C6,Low asset utilization.,75
5,Pro,P1,High return on equity above 20%.,90
5,Pro,P2,Strong return on capital employed.,85
5,Pro,P3,Healthy net profit margin.,80
5,Pro,P5,Excellent interest coverage.,90
5,Pro,P6,Efficient asset utilization.,75
6,Con,C1,Low return on equity.,85
6,Con,C2,Low return on capital employed.,85
6,Con,C6,Low asset utilization.,75
6,Pro,P3,Healthy net profit margin.,80
6,Con,C1,Low return on equity.,85
6,Con,C2,Low return on capital employed.,85
6,Con,C5,Poor interest coverage.,90
6,Con,C6,Low asset utilization.,75
6,Pro,P5,Excellent interest coverage.,90
6,Con,C1,Low return on equity.,85
6,Con,C2,Low return on capital employed.,85
6,Con,C6,Low asset utilization.,75
6,Pro,P5,Excellent interest coverage.,90
6,Con,C1,Low return on equity.,85
6,Con,C2,Low return on capital employed.,85
6,Con,C6,Low asset utilization.,75
6,Pro,P3,Healthy net profit margin.,80
6,Con,C1,Low return on equity.,85
6,Con,C2,Low return on capital employed.,85
6,Con,C6,Low asset utilization.,75
7,Pro,P3,Healthy net profit margin.,80
7,Pro,P5,Excellent interest coverage.,90
7,Con,C1,Low return on equity.,85
7,Con,C2,Low return on capital employed.,85
7,Con,C6,Low asset utilization.,75
7,Pro,P1,High return on equity above 20%.,90
7,Pro,P2,Strong return on capital employed.,85
7,Pro,P3,Healthy net profit margin.,80
7,Pro,P5,Excellent interest coverage.,90
7,Pro,P6,Efficient asset utilization.,75
7,Con,C1,Low return on equity.,85
7,Con,C1,Low return on equity.,85
7,Con,C6,Low asset utilization.,75
7,Pro,P3,Healthy net profit margin.,80
7,Con,C1,Low return on equity.,85
7,Con,C6,Low asset utilization.,75
8,Pro,P5,Excellent interest coverage.,90
8,Con,C1,Low return on equity.,85
8,Pro,P3,Healthy net profit margin.,80
8,Pro,P5,Excellent interest coverage.,90
8,Con,C1,Low return on equity.,85
8,Con,C2,Low return on capital employed.,85
8,Con,C6,Low asset utilization.,75
8,Pro,P1,High return on equity above 20%.,90
8,Pro,P2,Strong return on capital employed.,85
8,Pro,P3,Healthy net profit margin.,80
8,Pro,P5,Excellent interest coverage.,90
8,Con,C6,Low asset utilization.,75
8,Con,C1,Low return on equity.,85
8,Con,C2,Low return on capital employed.,85
8,Con,C6,Low asset utilization.,75
8,Pro,P5,Excellent interest coverage.,90
8,Con,C1,Low return on equity.,85
8,Con,C2,Low return on capital employed.,85
8,Con,C6,Low asset utilization.,75
9,Pro,P2,Strong return on capital employed.,85
9,Pro,P5,Excellent interest coverage.,90
9,Con,C6,Low asset utilization.,75
9,Pro,P3,Healthy net profit margin.,80
9,Con,C1,Low return on equity.,85
9,Con,C2,Low return on capital employed.,85
9,Con,C6,Low asset utilization.,75
9,Pro,P5,Excellent interest coverage.,90
9,Con,C1,Low return on equity.,85
9,Con,C1,Low return on equity.,85
9,Con,C2,Low return on capital employed.,85
9,Con,C6,Low asset utilization.,75
9,Con,C1,Low return on equity.,85
9,Con,C6,Low asset utilization.,75
10,Con,C1,Low return on equity.,85
10,Con,C2,Low return on capital employed.,85
10,Con,C6,Low asset utilization.,75
10,Pro,P5,Excellent interest coverage.,90
10,Con,C1,Low return on equity.,85
10,Con,C6,Low asset utilization.,75
10,Pro,P2,Strong return on capital employed.,85
10,Pro,P5,Excellent interest coverage.,90
10,Con,C1,Low return on equity.,85
10,Con,C6,Low asset utilization.,75
10,Con,C1,Low return on equity.,85
10,Con,C2,Low return on capital employed.,85
10,Con,C6,Low asset utilization.,75
10,Pro,P1,High return on equity above 20%.,90
10,Pro,P2,Strong return on capital employed.,85
10,Pro,P3,Healthy net profit margin.,80
10,Pro,P5,Excellent interest coverage.,90
11,Pro,P1,High return on equity above 20%.,90
11,Pro,P2,Strong return on capital employed.,85
11,Pro,P5,Excellent interest coverage.,90
11,Con,C6,Low asset utilization.,75
11,Pro,P1,High return on equity above 20%.,90
11,Pro,P2,Strong return on capital employed.,85
11,Pro,P3,Healthy net profit margin.,80
11,Con,C6,Low asset utilization.,75
11,Pro,P2,Strong return on capital employed.,85
11,Pro,P5,Excellent interest coverage.,90
11,Pro,P2,Strong return on capital employed.,85
11,Pro,P4,Debt free company.,95
11,Con,C1,Low return on equity.,85
11,Con,C6,Low asset utilization.,75
11,Pro,P2,Strong return on capital employed.,85
11,Pro,P5,Excellent interest coverage.,90
11,Con,C6,Low asset utilization.,75
12,Pro,P5,Excellent interest coverage.,90
12,Con,C1,Low return on equity.,85
12,Con,C2,Low return on capital employed.,85
12,Con,C6,Low asset utilization.,75
12,Pro,P2,Strong return on capital employed.,85
12,Pro,P5,Excellent interest coverage.,90
12,Con,C1,Low return on equity.,85
12,Con,C6,Low asset utilization.,75
12,Pro,P2,Strong return on capital employed.,85
12,Pro,P3,Healthy net profit margin.,80
12,Pro,P5,Excellent interest coverage.,90
12,Con,C6,Low asset utilization.,75
12,Pro,P5,Excellent interest coverage.,90
12,Con,C1,Low return on equity.,85
12,Con,C6,Low asset utilization.,75
13,Pro,P2,Strong return on capital employed.,85
13,Con,C1,Low return on equity.,85
13,Con,C6,Low asset utilization.,75
13,Pro,P5,Excellent interest coverage.,90
13,Con,C1,Low return on equity.,85
13,Con,C2,Low return on capital employed.,85
13,Con,C6,Low asset utilization.,75
13,Pro,P2,Strong return on capital employed.,85
13,Pro,P5,Excellent interest coverage.,90
13,Con,C6,Low asset utilization.,75
13,Con,C1,Low return on equity.,85
13,Con,C6,Low asset utilization.,75
13,Pro,P5,Excellent interest coverage.,90
13,Con,C1,Low return on equity.,85
13,Con,C6,Low asset utilization.,75
14,Pro,P5,Excellent interest coverage.,90
14,Con,C1,Low return on equity.,85
14,Con,C2,Low return on capital employed.,85
14,Con,C6,Low asset utilization.,75
14,Con,C1,Low return on equity.,85
14,Con,C6,Low asset utilization.,75
14,Pro,P3,Healthy net profit margin.,80
14,Con,C1,Low return on equity.,85
14,Con,C2,Low return on capital employed.,85
14,Con,C6,Low asset utilization.,75
14,Con,C1,Low return on equity.,85
14,Con,C2,Low return on capital employed.,85
14,Con,C6,Low asset utilization.,75
14,Pro,P2,Strong return on capital employed.,85
